Entry Order,lot_number,group,panel,analyst,watson_id,assay_date,Plate Order  Number,Run,Comments for Mean Response Without Drug,with_drug_response,Comments for Mean Response With Drug,inhibition_percent
1,HMN32540,D,2,SDS,13,30/07/20 0:00,1,122.5, ,136, ,-11.02040816
2,HMN32538,D,2,SDS,13,30/07/20 0:00,1,136.5, ,155.5, ,-13.91941392
3,HMN32549,D,2,SDS,13,30/07/20 0:00,1,142.5, ,149, ,-4.561403509
4,HMN32537,D,2,SDS,13,30/07/20 0:00,1,101.5, ,110.5, ,-8.866995074
5,HMN32551,D,2,SDS,13,30/07/20 0:00,1,144.5, ,160.5, ,-11.07266436
6,HMN32545,D,2,SDS,13,30/07/20 0:00,1,151.5, ,165, ,-8.910891089
7,HMN32554,D,2,SDS,13,30/07/20 0:00,1,133, ,147, ,-10.52631579
8,HMN32531,D,2,SDS,13,30/07/20 0:00,1,120.5, ,153, ,-26.97095436
9,HMN366249,C,2,SDS,14,30/07/20 0:00,2,104, ,126.5, ,-21.63461538
10,HMN366338,C,2,SDS,14,30/07/20 0:00,2,158, ,165.5, ,-4.746835443
11,HMN366384,C,2,SDS,14,30/07/20 0:00,2,145.5, ,153.5, ,-5.498281787
12,HMN366342,C,2,SDS,14,30/07/20 0:00,2,130.5, ,130, ,0.383141762
13,HMN366250,C,2,SDS,14,30/07/20 0:00,2,138.5, ,145, ,-4.693140794
14,HMN364398,C,2,SDS,14,30/07/20 0:00,2,119.5, ,124, ,-3.765690377
15,HMN364358,C,2,SDS,14,30/07/20 0:00,2,154.5, ,166.5, ,-7.766990291
16,HMN364386,C,2,SDS,14,30/07/20 0:00,2,102, ,113.5, ,-11.2745098
17,HMN364347,C,2,SDS,14,30/07/20 0:00,2,116, ,146, ,-25.86206897
18,HMN364338,C,2,SDS,14,30/07/20 0:00,2,119.5, ,128, ,-7.112970711
19,HMN364390,C,2,SDS,14,30/07/20 0:00,2,136, ,150, ,-10.29411765
20,HMN364405,C,2,SDS,14,30/07/20 0:00,2,129, ,140.5, ,-8.914728682
21,HMN634397,C,2,SDS,14,30/07/20 0:00,2,161.5, ,167, ,-3.405572755
22,HMN32546,C,2,SDS,14,30/07/20 0:00,2,136.5, ,142.5, ,-4.395604396
23,HMN193214,B,2,SDS,15,30/07/20 0:00,3,92, ,112.5, ,-22.2826087
24,HMN193225,B,2,SDS,15,30/07/20 0:00,3,155.5, ,135, ,13.18327974
25,HMN193222,B,2,SDS,15,30/07/20 0:00,3,96.5, ,108.5, ,-12.43523316
26,HMN193206,B,2,SDS,15,30/07/20 0:00,3,119.5, ,114, ,4.60251046
27,HMNXXXX,B,2,SDS,15,30/07/20 0:00,3,94, ,109, ,-15.95744681
28,HMN193232,B,2,SDS,15,30/07/20 0:00,3,140, ,145, ,-3.571428571
29,HMN193223,B,2,SDS,15,30/07/20 0:00,3,148, ,149, ,-0.675675676
30,HMN366251,B,2,SDS,15,30/07/20 0:00,3,92.5, ,103.5, ,-11.89189189
31,HMN366203,B,2,SDS,15,30/07/20 0:00,3,94, ,100.5, ,-6.914893617
32,HMN366343,B,2,SDS,15,30/07/20 0:00,3,89, ,105, ,-17.97752809
33,HMN366246,B,2,SDS,15,30/07/20 0:00,3,124.5, ,132.5, ,-6.425702811
34,HMN366348,B,2,SDS,15,30/07/20 0:00,3,118, ,117.5, ,0.423728814
35,HMN366194,B,2,SDS,15,30/07/20 0:00,3,106, ,100, ,5.660377358
36,HMN366390,B,2,SDS,15,30/07/20 0:00,3,108, ,101, ,6.481481481
37,HMN32543,A,2,SDS,16,30/07/20 0:00,4,117.5, ,138.5, ,-17.87234043
38,HMN32535,A,2,SDS,16,30/07/20 0:00,4,98, ,102.5, ,-4.591836735
39,HMN32530,A,2,SDS,16,30/07/20 0:00,4,82.5, ,83, ,-0.606060606
40,HMN32550,A,2,SDS,16,30/07/20 0:00,4,151, ,154, ,-1.986754967
41,HMN32547,A,2,SDS,16,30/07/20 0:00,4,94.5, ,92, ,2.645502646
42,HMN32542,A,2,SDS,16,30/07/20 0:00,4,137, ,144, ,-5.109489051
43,HMN362212,A,2,SDS,16,30/07/20 0:00,4,114.5, ,131, ,-14.41048035
44,HMN362213,A,2,SDS,16,30/07/20 0:00,4,136, ,166, ,-22.05882353
45,HMN366293,A,2,SDS,16,30/07/20 0:00,4,109.5, ,125, ,-14.15525114
46,HMN366301,A,2,SDS,16,30/07/20 0:00,4,115, ,123, ,-6.956521739
47,HMN366300,A,2,SDS,16,30/07/20 0:00,4,105, ,115, ,-9.523809524
48,HMN366302,A,2,SDS,16,30/07/20 0:00,4,92.5, ,89, ,3.783783784
49,HMN366211,A,2,SDS,16,30/07/20 0:00,4,157, ,147, ,6.369426752
50,HMN193215,A,2,SDS,16,30/07/20 0:00,4,102.5, ,107.5, ,-4.87804878
51,HMN32540,D,3,ML,17,03/08/20 0:00,1,126, ,141, ,-11.9047619
52,HMN32538,D,3,ML,17,03/08/20 0:00,1,88, ,110.5, ,-25.56818182
53,HMN32549,D,3,ML,17,03/08/20 0:00,1,106, ,108.5, ,-2.358490566
54,HMN32537,D,3,ML,17,03/08/20 0:00,1,94.5, ,80.5, ,14.81481481
55,HMN32551,D,3,ML,17,03/08/20 0:00,1,105.5, ,96.5, ,8.530805687
56,HMN32545,D,3,ML,17,03/08/20 0:00,1,104.5, ,91.5, ,12.44019139
57,HMN32554,D,3,ML,17,03/08/20 0:00,1,98, ,86.5, ,11.73469388
58,HMN32531,D,3,ML,17,03/08/20 0:00,1,68, ,65.5, ,3.676470588
59,HMN366249,C,3,ML,18,03/08/20 0:00,2,89.5, ,93.5, ,-4.469273743
60,HMN366338,C,3,ML,18,03/08/20 0:00,2,108.5, ,119.5, ,-10.13824885
61,HMN366384,C,3,ML,18,03/08/20 0:00,2,101, ,95.5, ,5.445544554
62,HMN366342,C,3,ML,18,03/08/20 0:00,2,108, ,102.5, ,5.092592593
63,HMN366250,C,3,ML,18,03/08/20 0:00,2,105, ,103, ,1.904761905
64,HMN364398,C,3,ML,18,03/08/20 0:00,2,110.5, ,96.5, ,12.66968326
65,HMN364358,C,3,ML,18,03/08/20 0:00,2,112.5, ,113, ,-0.444444444
66,HMN364386,C,3,ML,18,03/08/20 0:00,2,88.5, ,94.5, ,-6.779661017
67,HMN364347,C,3,ML,18,03/08/20 0:00,2,101.5, ,103, ,-1.477832512
68,HMN364338,C,3,ML,18,03/08/20 0:00,2,102, ,103.5, ,-1.470588235
69,HMN364390,C,3,ML,18,03/08/20 0:00,2,107, ,100, ,6.542056075
70,HMN364405,C,3,ML,18,03/08/20 0:00,2,107, ,104.5, ,2.336448598
71,HMN634397,C,3,ML,18,03/08/20 0:00,2,122.5, ,114.5, ,6.530612245
72,HMN32546,C,3,ML,18,03/08/20 0:00,2,112.5, ,101.5, ,9.777777778
73,HMN193214,B,3,ML,19,03/08/20 0:00,3,80.5, ,92.5, ,-14.9068323
74,HMN193225,B,3,ML,19,03/08/20 0:00,3,109.5, ,116, ,-5.936073059
75,HMN193222,B,3,ML,19,03/08/20 0:00,3,75.5, ,82, ,-8.609271523
76,HMN193206,B,3,ML,19,03/08/20 0:00,3,99.5, ,100.5, ,-1.005025126
77,HMNXXXX,B,3,ML,19,03/08/20 0:00,3,86, ,87.5, ,-1.744186047
78,HMN193232,B,3,ML,19,03/08/20 0:00,3,105, ,101.5, ,3.333333333
79,HMN193223,B,3,ML,19,03/08/20 0:00,3,106.5, ,116.5, ,-9.389671362
80,HMN366251,B,3,ML,19,03/08/20 0:00,3,73.5, ,87.5, ,-19.04761905
81,HMN366203,B,3,ML,19,03/08/20 0:00,3,91.5, ,102, ,-11.47540984
